Segment_ID,Band_ID,Gradient_Band,Start_Distance_km,End_Distance_km,Length_km,Average_Gradient_%,Min_Elevation_m,Max_Elevation_m,Elevation_Change_m
1,4,Flat,0,0.045,0.045,1,15.6,16.1,0.5
2,5,Moderate Uphill,0.045,0.361,0.316,4,16.1,28.3,12.1
3,4,Flat,0.361,0.82,0.46,1,28.3,31.3,3.1
4,5,Moderate Uphill,0.82,0.843,0.023,3,31.3,32,0.6
5,4,Flat,0.843,0.912,0.069,2,32,33.5,1.5
6,5,Moderate Uphill,0.912,0.935,0.023,3,33.5,34.1,0.6
7,4,Flat,0.935,1.188,0.253,1,34.1,36.7,2.7
8,3,Moderate Downhill,1.188,1.51,0.322,-4,21.8,35.6,13.7
9,4,Flat,1.51,5.511,4.001,0,16.2,21.8,5.6
10,5,Moderate Uphill,5.511,5.741,0.23,3,19.2,25.9,6.7
11,4,Flat,5.741,5.856,0.115,0,25.5,26.4,0.9
12,3,Moderate Downhill,5.856,6.132,0.276,-3,16.4,25.5,9.1
13,4,Flat,6.132,6.224,0.092,1,16.1,17.1,1
14,5,Moderate Uphill,6.224,6.521,0.297,4,17.1,30,12.9
15,4,Flat,6.521,6.912,0.391,0,30,32.6,2.6
16,3,Moderate Downhill,6.912,7.234,0.322,-4,18.3,31.9,13.6
17,4,Flat,7.234,20.926,13.692,0,15.8,25.5,9.7
18,5,Moderate Uphill,20.926,20.972,0.046,3,25,26.3,1.2
19,4,Flat,20.972,21.685,0.712,0,26.3,28.1,1.9
20,5,Moderate Uphill,21.685,21.799,0.115,3,27.6,30.9,3.3
21,4,Flat,21.799,28.121,6.321,0,25.4,43,17.6
22,5,Moderate Uphill,28.121,28.374,0.253,4,43,53.2,10.2
23,4,Flat,28.374,29.017,0.644,0,52,54.2,2.2
24,5,Moderate Uphill,29.017,29.178,0.161,3,52.7,57.6,4.8
25,4,Flat,29.178,31.708,2.53,1,57.6,73,15.4
26,3,Moderate Downhill,31.708,32.26,0.552,-6,40.8,72,31.2
27,4,Flat,32.26,33.685,1.426,0,37.4,46.6,9.2
28,5,Moderate Uphill,33.685,34.122,0.437,6,46.6,73.4,26.9
29,4,Flat,34.122,34.95,0.828,0,71.4,74.4,3
30,3,Moderate Downhill,34.95,35.111,0.161,-4,65.6,71.4,5.8
31,4,Flat,35.111,35.248,0.138,-1,63.9,65.6,1.7
32,3,Moderate Downhill,35.248,35.57,0.322,-6,44.4,63.9,19.4
33,4,Flat,35.57,35.846,0.276,0,43.3,44.9,1.7
34,5,Moderate Uphill,35.846,35.869,0.023,3,44.9,45.5,0.6
35,4,Flat,35.869,35.892,0.023,2,45.5,46.1,0.5
36,5,Moderate Uphill,35.892,36.03,0.138,3,46.1,49.7,3.7
37,4,Flat,36.03,36.053,0.023,2,49.7,50.3,0.5
38,5,Moderate Uphill,36.053,36.076,0.023,3,50.3,50.9,0.6
39,4,Flat,36.076,36.145,0.069,2,50.9,52.5,1.6
40,5,Moderate Uphill,36.145,36.329,0.184,3,52.5,58.7,6.2
41,4,Flat,36.329,36.398,0.069,1,58.7,59.3,0.6
42,3,Moderate Downhill,36.398,36.697,0.299,-4,46.3,59.1,12.7
43,4,Flat,36.697,36.904,0.207,0,45.4,47.1,1.8
44,5,Moderate Uphill,36.904,36.996,0.092,3,47.1,49.5,2.4
45,4,Flat,36.996,37.226,0.23,2,49.5,53.4,3.9
46,5,Moderate Uphill,37.226,37.249,0.023,3,53.4,54,0.6
47,4,Flat,37.249,37.501,0.253,1,54,55.8,1.7
48,5,Moderate Uphill,37.501,37.547,0.046,3,55.8,57,1.2
49,4,Flat,37.547,37.57,0.023,2,57,57.5,0.6
50,5,Moderate Uphill,37.57,37.731,0.161,4,57.5,63.7,6.2
51,4,Flat,37.731,37.846,0.115,0,63.2,64.2,0.9
52,3,Moderate Downhill,37.846,38.099,0.253,-3,55.6,63.2,7.6
53,4,Flat,38.099,38.237,0.138,0,54.2,55.6,1.4
54,5,Moderate Uphill,38.237,38.329,0.092,4,55.1,58.4,3.4
55,4,Flat,38.329,38.604,0.276,0,57.5,59.3,1.8
56,3,Moderate Downhill,38.604,38.719,0.115,-3,53.6,57.5,3.8
57,4,Flat,38.719,39.8,1.081,0,52.1,54.3,2.2
58,5,Moderate Uphill,39.8,39.892,0.092,3,54.3,57.1,2.8
59,4,Flat,39.892,40.007,0.115,-1,56.5,57.7,1.2
60,3,Moderate Downhill,40.007,40.053,0.046,-3,55.2,56.5,1.3
61,4,Flat,40.053,40.168,0.115,0,54.1,55.2,1.1
62,5,Moderate Uphill,40.168,40.489,0.322,4,54.8,67.4,12.6
63,4,Flat,40.489,41.018,0.529,0,65,68.7,3.7
64,5,Moderate Uphill,41.018,41.133,0.115,3,65.9,69.7,3.8
65,4,Flat,41.133,42.03,0.897,0,69.7,71.5,1.9
66,5,Moderate Uphill,42.03,42.122,0.092,3,71.2,74.4,3.2
67,4,Flat,42.122,42.444,0.322,0,74.4,76.9,2.6
68,3,Moderate Downhill,42.444,42.628,0.184,-3,70.6,75.7,5
69,4,Flat,42.628,42.881,0.253,-1,69,70.6,1.6
70,3,Moderate Downhill,42.881,42.973,0.092,-3,66.1,69,2.9
71,4,Flat,42.973,44.007,1.035,0,64.9,68.4,3.5
72,5,Moderate Uphill,44.007,44.053,0.046,3,68.4,69.6,1.2
73,4,Flat,44.053,44.306,0.253,1,69.6,71.6,2
74,5,Moderate Uphill,44.306,44.375,0.069,3,71.1,73.2,2.1
75,4,Flat,44.375,45.249,0.874,0,69.7,73.6,3.9
76,5,Moderate Uphill,45.249,45.295,0.046,3,71.8,73.2,1.3
77,4,Flat,45.295,45.64,0.345,1,73.2,75.4,2.3
78,5,Moderate Uphill,45.64,45.686,0.046,3,75.4,76.8,1.3
79,4,Flat,45.686,45.938,0.253,0,76.8,78,1.2
80,5,Moderate Uphill,45.938,46.053,0.115,3,78,81.6,3.6
81,4,Flat,46.053,47.662,1.608,1,80.2,90.5,10.4
82,3,Moderate Downhill,47.662,47.708,0.046,-3,88.3,89.7,1.4
83,4,Flat,47.708,47.846,0.138,0,87.5,88.8,1.2
84,5,Moderate Uphill,47.846,47.892,0.046,3,88.8,90,1.2
85,4,Flat,47.892,48.145,0.253,0,89.5,91.3,1.8
86,5,Moderate Uphill,48.145,48.375,0.23,3,90.4,98.4,8
87,4,Flat,48.375,48.788,0.413,0,97.6,99.7,2.1
88,5,Moderate Uphill,48.788,49.133,0.345,4,98.5,111.8,13.4
89,4,Flat,49.133,50.029,0.896,0,109.9,112.4,2.6
90,5,Moderate Uphill,50.029,50.075,0.046,3,112.4,113.7,1.3
91,4,Flat,50.075,50.098,0.023,2,113.7,114.3,0.6
92,5,Moderate Uphill,50.098,50.167,0.069,3,114.3,116.4,2.1
93,4,Flat,50.167,50.259,0.092,0,116.4,117.1,0.7
94,3,Moderate Downhill,50.259,50.281,0.023,-3,116,116.6,0.6
95,4,Flat,50.281,50.994,0.712,1,113.9,124.1,10.2
96,5,Moderate Uphill,50.994,51.178,0.184,4,124.1,131.1,7
97,4,Flat,51.178,52.487,1.31,0,129.9,132.2,2.3
98,5,Moderate Uphill,52.487,52.602,0.115,3,132.2,135.3,3.1
99,4,Flat,52.602,53.751,1.149,0,134.6,140,5.4
100,5,Moderate Uphill,53.751,53.98,0.229,6,139.3,151.9,12.7
101,4,Flat,53.98,54.209,0.229,-1,150.7,152.3,1.7
102,3,Moderate Downhill,54.209,54.369,0.161,-4,143.7,150.7,6.9
103,4,Flat,54.369,57.702,3.333,0,136.8,144.2,7.4
104,5,Moderate Uphill,57.702,57.84,0.138,4,144.2,149.6,5.4
105,4,Flat,57.84,57.909,0.069,-1,149.2,149.9,0.7
106,3,Moderate Downhill,57.909,58.07,0.161,-3,144.5,149.2,4.8
107,4,Flat,58.07,58.254,0.184,0,143,144.5,1.4
108,5,Moderate Uphill,58.254,58.346,0.092,3,143.9,146.7,2.7
109,4,Flat,58.346,59.656,1.311,0,143.9,149.1,5.2
110,3,Moderate Downhill,59.656,59.679,0.023,-3,147,147.5,0.6
111,4,Flat,59.679,60.277,0.598,0,145.9,150.9,5
112,3,Moderate Downhill,60.277,60.323,0.046,-3,148.2,149.6,1.4
113,4,Flat,60.323,63.358,3.035,0,146.8,154.6,7.8
114,5,Moderate Uphill,63.358,63.541,0.184,3,154.4,160.7,6.4
115,4,Flat,63.541,63.679,0.138,1,160.7,162,1.3
116,5,Moderate Uphill,63.679,63.771,0.092,6,162,167.5,5.5
117,6,Steep Uphill,63.771,63.84,0.069,8,167.5,173.4,5.8
118,5,Moderate Uphill,63.84,64.093,0.253,7,173.4,192,18.6
119,6,Steep Uphill,64.093,64.193,0.1,13,192,204.1,12.1
120,7,Extreme Uphill,64.193,64.203,0.01,21,204.1,206.2,2.1
121,5,Moderate Uphill,64.203,64.774,0.572,4,206.2,227.6,21.4
122,6,Steep Uphill,64.774,64.979,0.205,10,227.6,247.3,19.6
123,5,Moderate Uphill,64.979,65.117,0.137,5,247.3,254.7,7.4
124,4,Flat,65.117,66.009,0.892,0,248.6,255.7,7.1
125,5,Moderate Uphill,66.009,66.283,0.275,7,251.4,269.9,18.4
126,6,Steep Uphill,66.283,66.467,0.184,9,269.9,286,16.1
127,5,Moderate Uphill,66.467,66.743,0.276,7,286,306.3,20.3
128,6,Steep Uphill,66.743,66.766,0.023,8,306.3,308.2,1.9
129,5,Moderate Uphill,66.766,67.017,0.252,7,308.2,326.3,18.2
130,6,Steep Uphill,67.017,67.155,0.138,9,326.3,338.1,11.7
131,5,Moderate Uphill,67.155,68.097,0.942,6,338.1,396.2,58.2
132,4,Flat,68.097,68.603,0.506,1,396.2,400,3.8
133,5,Moderate Uphill,68.603,68.947,0.345,4,400,415.4,15.4
134,4,Flat,68.947,69.292,0.345,1,415.4,419.3,3.9
135,5,Moderate Uphill,69.292,69.982,0.69,4,419.3,447.2,27.8
136,4,Flat,69.982,70.166,0.184,0,447,448.3,1.4
137,3,Moderate Downhill,70.166,71.016,0.849,-5,400.5,447,46.4
138,2,Very Steep Downhill,71.016,71.039,0.023,-8,398.7,400.5,1.8
139,3,Moderate Downhill,71.039,73.724,2.686,-6,237.9,398.7,160.8
140,4,Flat,73.724,74.115,0.391,0,236.1,238.4,2.3
141,3,Moderate Downhill,74.115,74.161,0.046,-3,234.8,236.1,1.2
142,4,Flat,74.161,74.805,0.644,1,232.2,240.1,7.9
143,5,Moderate Uphill,74.805,74.943,0.138,3,240.1,243.9,3.8
144,4,Flat,74.943,75.127,0.184,2,243.9,247.8,3.8
145,5,Moderate Uphill,75.127,75.15,0.023,3,247.8,248.4,0.6
146,4,Flat,75.15,75.334,0.184,1,248.4,250.1,1.7
147,3,Moderate Downhill,75.334,75.517,0.184,-4,242.5,249.3,6.8
148,4,Flat,75.517,75.563,0.046,-2,241.6,242.5,0.9
149,3,Moderate Downhill,75.563,75.586,0.023,-3,241,241.6,0.6
150,4,Flat,75.586,75.632,0.046,-2,239.9,241,1.1
151,3,Moderate Downhill,75.632,75.701,0.069,-3,238,239.9,1.9
152,4,Flat,75.701,75.724,0.023,-2,237.4,238,0.5
153,3,Moderate Downhill,75.724,75.747,0.023,-3,236.8,237.4,0.6
154,4,Flat,75.747,75.77,0.023,-2,236.3,236.8,0.6
155,3,Moderate Downhill,75.77,75.793,0.023,-3,235.7,236.3,0.6
156,4,Flat,75.793,76.137,0.344,0,234.8,235.7,0.9
157,5,Moderate Uphill,76.137,76.574,0.437,7,235.6,266.1,30.6
158,6,Steep Uphill,76.574,76.597,0.023,8,266.1,268,1.8
159,5,Moderate Uphill,76.597,76.849,0.253,6,268,282.9,14.9
160,4,Flat,76.849,77.47,0.621,0,282.9,286.3,3.4
161,3,Moderate Downhill,77.47,77.608,0.138,-4,279.6,284.9,5.3
162,4,Flat,77.608,77.838,0.23,-1,277.7,279.6,1.8
163,5,Moderate Uphill,77.838,78.321,0.483,5,278.4,301.6,23.2
164,4,Flat,78.321,79.492,1.171,1,301.6,310.1,8.5
165,5,Moderate Uphill,79.492,79.561,0.069,6,310.1,313.9,3.8
166,6,Steep Uphill,79.561,79.766,0.205,8,313.9,331.3,17.5
167,5,Moderate Uphill,79.766,80.088,0.322,6,331.3,349.9,18.6
168,4,Flat,80.088,80.456,0.368,1,349.8,353.1,3.3
169,5,Moderate Uphill,80.456,80.64,0.184,4,353.1,360.5,7.4
170,4,Flat,80.64,80.709,0.069,0,360.3,360.8,0.5
171,3,Moderate Downhill,80.709,80.847,0.138,-4,354.9,360.3,5.3
172,4,Flat,80.847,80.939,0.092,-1,353.6,354.9,1.3
173,3,Moderate Downhill,80.939,81.444,0.506,-5,328.4,353.6,25.3
174,4,Flat,81.444,81.536,0.092,0,327.8,328.4,0.5
175,5,Moderate Uphill,81.536,81.651,0.115,3,328.3,332.2,3.9
176,4,Flat,81.651,81.881,0.23,1,332.2,335,2.7
177,3,Moderate Downhill,81.881,82.317,0.436,-6,307.7,334.5,26.8
178,4,Flat,82.317,83.881,1.564,0,306.2,311.9,5.6
179,5,Moderate Uphill,83.881,83.973,0.092,3,311.9,314.4,2.5
180,4,Flat,83.973,84.295,0.322,1,314.4,316.4,2.1
181,5,Moderate Uphill,84.295,85.146,0.851,4,316.4,354.2,37.7
182,4,Flat,85.146,85.33,0.184,1,354.2,355.9,1.7
183,5,Moderate Uphill,85.33,85.422,0.092,5,355.9,360.9,5
184,6,Steep Uphill,85.422,85.468,0.046,8,360.9,364.6,3.7
185,5,Moderate Uphill,85.468,85.675,0.207,6,364.6,376.3,11.7
186,4,Flat,85.675,85.766,0.092,1,376.3,377.1,0.8
187,3,Moderate Downhill,85.766,85.858,0.092,-6,371.6,376.8,5.3
188,2,Very Steep Downhill,85.858,85.881,0.023,-8,369.7,371.6,1.9
189,3,Moderate Downhill,85.881,85.927,0.046,-8,366.1,369.7,3.6
190,2,Very Steep Downhill,85.927,86.065,0.138,-9,354.1,366.1,12
191,3,Moderate Downhill,86.065,86.203,0.138,-5,347.2,354.1,6.8
192,4,Flat,86.203,86.502,0.299,0,345.4,347.2,1.9
193,5,Moderate Uphill,86.502,86.525,0.023,3,346.5,347.1,0.6
194,4,Flat,86.525,88.019,1.494,0,346.5,354.4,7.9
195,3,Moderate Downhill,88.019,88.042,0.023,-3,350.7,351.3,0.6
196,4,Flat,88.042,88.088,0.046,-2,349.8,350.7,0.9
197,3,Moderate Downhill,88.088,88.134,0.046,-3,348.6,349.8,1.2
198,4,Flat,88.134,88.847,0.713,0,346.8,350.5,3.7
199,3,Moderate Downhill,88.847,88.962,0.115,-4,345,349.2,4.2
200,4,Flat,88.962,89.146,0.184,-1,343.7,345,1.3
201,3,Moderate Downhill,89.146,89.468,0.322,-5,326.4,343.7,17.3
202,4,Flat,89.468,89.536,0.069,0,326.1,326.6,0.5
203,5,Moderate Uphill,89.536,89.697,0.161,5,326.6,334.8,8.2
204,4,Flat,89.697,89.812,0.115,1,334.8,336.2,1.5
205,5,Moderate Uphill,89.812,90.156,0.344,5,336.2,355.1,18.9
206,4,Flat,90.156,90.685,0.529,1,355.1,360.4,5.2
207,3,Moderate Downhill,90.685,90.777,0.092,-3,356.7,359.3,2.6
208,4,Flat,90.777,91.858,1.081,0,352.6,359.5,6.8
209,5,Moderate Uphill,91.858,92.065,0.207,4,359.5,368.1,8.6
210,4,Flat,92.065,92.41,0.345,1,368.1,370,1.9
211,5,Moderate Uphill,92.41,92.73,0.321,6,370,389.8,19.8
212,4,Flat,92.73,92.798,0.068,0,389.7,390.3,0.6
213,3,Moderate Downhill,92.798,92.913,0.115,-4,385.1,389.7,4.6
214,4,Flat,92.913,93.188,0.275,0,383.6,385.1,1.5
215,5,Moderate Uphill,93.188,93.349,0.161,4,384.7,391.4,6.7
216,4,Flat,93.349,93.878,0.529,1,391.4,395.6,4.2
217,5,Moderate Uphill,93.878,93.993,0.115,3,395.6,399.6,4
218,4,Flat,93.993,94.131,0.138,0,399.4,400.3,1
219,3,Moderate Downhill,94.131,94.154,0.023,-3,398.7,399.4,0.6
220,4,Flat,94.154,94.706,0.552,1,397.6,401.7,4.1
221,5,Moderate Uphill,94.706,95.143,0.437,5,401.7,423,21.3
222,4,Flat,95.143,95.258,0.115,0,422.8,423.6,0.8
223,3,Moderate Downhill,95.258,95.534,0.276,-4,411.8,422.8,11
224,4,Flat,95.534,95.855,0.322,0,410.7,413,2.3
225,5,Moderate Uphill,95.855,96.269,0.414,5,413,434.3,21.3
226,4,Flat,96.269,96.43,0.161,0,434.3,435.6,1.3
227,3,Moderate Downhill,96.43,96.522,0.092,-3,432.1,434.7,2.6
228,4,Flat,96.522,96.775,0.253,-1,429.1,432.1,3
229,3,Moderate Downhill,96.775,96.844,0.069,-3,427.2,429.1,1.9
230,4,Flat,96.844,96.959,0.115,0,426.2,427.2,1
231,5,Moderate Uphill,96.959,97.212,0.253,4,427,437.7,10.7
232,4,Flat,97.212,97.258,0.046,2,437.7,438.8,1.1
233,5,Moderate Uphill,97.258,97.281,0.023,3,438.8,439.4,0.6
234,4,Flat,97.281,97.695,0.414,1,439.4,445.2,5.9
235,5,Moderate Uphill,97.695,97.764,0.069,5,445.2,448.5,3.3
236,6,Steep Uphill,97.764,97.948,0.184,9,448.5,465.2,16.7
237,5,Moderate Uphill,97.948,98.016,0.069,5,465.2,468.4,3.3
238,4,Flat,98.016,99.005,0.989,1,467.5,474.6,7
239,5,Moderate Uphill,99.005,99.074,0.069,5,474.6,478.1,3.5
240,6,Steep Uphill,99.074,99.212,0.138,9,478.1,490.5,12.4
241,5,Moderate Uphill,99.212,99.511,0.299,4,490.5,503.2,12.7
242,4,Flat,99.511,100.224,0.713,0,503.1,505.8,2.7
243,5,Moderate Uphill,100.224,100.454,0.23,4,505.1,515.3,10.2
244,4,Flat,100.454,100.592,0.138,1,515.3,516.3,1
245,5,Moderate Uphill,100.592,100.661,0.069,5,516.3,519.9,3.6
246,6,Steep Uphill,100.661,100.844,0.183,9,519.9,537,17.2
247,5,Moderate Uphill,100.844,100.89,0.046,6,537,539.7,2.7
248,4,Flat,100.89,101.074,0.184,0,539.6,540.4,0.8
249,5,Moderate Uphill,101.074,101.327,0.253,5,539.8,552.8,13
250,6,Steep Uphill,101.327,101.465,0.138,9,552.8,564.7,11.9
251,5,Moderate Uphill,101.465,101.533,0.069,8,564.7,570.1,5.4
252,6,Steep Uphill,101.533,101.671,0.138,9,570.1,582.4,12.3
253,5,Moderate Uphill,101.671,101.786,0.115,5,582.4,588.4,6
254,4,Flat,101.786,101.878,0.092,0,588.2,589,0.8
255,3,Moderate Downhill,101.878,101.947,0.069,-4,585.8,588.2,2.5
256,4,Flat,101.947,102.016,0.069,-1,585,585.8,0.7
257,5,Moderate Uphill,102.016,102.131,0.115,3,585.2,588.7,3.6
258,4,Flat,102.131,102.223,0.092,2,588.7,590.9,2.1
259,5,Moderate Uphill,102.223,102.545,0.322,5,590.9,607.9,17
260,4,Flat,102.545,102.614,0.069,0,607.9,608.4,0.6
261,3,Moderate Downhill,102.614,103.166,0.552,-5,581.2,608.1,26.9
262,4,Flat,103.166,103.718,0.552,0,577.2,581.2,4
263,5,Moderate Uphill,103.718,103.856,0.138,5,578.9,585.1,6.2
264,4,Flat,103.856,104.339,0.483,-1,578.2,585.6,7.4
265,3,Moderate Downhill,104.339,104.569,0.23,-5,566,578.2,12.2
266,4,Flat,104.569,104.638,0.069,0,565.7,566.1,0.4
267,5,Moderate Uphill,104.638,104.937,0.299,5,566.1,580.5,14.4
268,4,Flat,104.937,105.397,0.46,1,579.7,583.4,3.7
269,5,Moderate Uphill,105.397,105.42,0.023,3,583.4,584,0.6
270,4,Flat,105.42,105.673,0.253,1,584,587.2,3.2
271,5,Moderate Uphill,105.673,105.856,0.184,4,587.2,595.4,8.2
272,4,Flat,105.856,105.902,0.046,0,595.3,595.6,0.2
273,3,Moderate Downhill,105.902,106.477,0.575,-6,562,595.3,33.4
274,2,Very Steep Downhill,106.477,106.592,0.115,-9,552.1,562,9.9
275,3,Moderate Downhill,106.592,106.661,0.069,-6,547.8,552.1,4.3
276,4,Flat,106.661,106.753,0.092,0,547.3,548.1,0.8
277,5,Moderate Uphill,106.753,106.776,0.023,3,548.1,548.7,0.6
278,4,Flat,106.776,107.213,0.437,-1,546.4,550,3.6
279,3,Moderate Downhill,107.213,107.42,0.207,-4,538.8,546.4,7.5
280,4,Flat,107.42,107.581,0.161,1,538.6,540.7,2.1
281,5,Moderate Uphill,107.581,107.926,0.345,4,540.7,553.3,12.6
